,file,input_text,target_text
2492,CMU\AFGP-2002-600002-Trans.xml,classify:sabotage|||Chemical sabotage,true
2546,CMU\AFGP-2002-600002-Trans.xml,classify:External|||External: ,other
2547,CMU\AFGP-2002-600002-Trans.xml,classify:All|||All actions and methods adopted to confront dangers from outside.,other
2548,CMU\AFGP-2002-600002-Trans.xml,classify:actions|||All actions and methods adopted to confront dangers from outside.,true
2549,CMU\AFGP-2002-600002-Trans.xml,classify:and|||All actions and methods adopted to confront dangers from outside.,other
2550,CMU\AFGP-2002-600002-Trans.xml,classify:methods|||All actions and methods adopted to confront dangers from outside.,true
2551,CMU\AFGP-2002-600002-Trans.xml,classify:adopted|||All actions and methods adopted to confront dangers from outside.,true
2552,CMU\AFGP-2002-600002-Trans.xml,classify:to|||All actions and methods adopted to confront dangers from outside.,other
2553,CMU\AFGP-2002-600002-Trans.xml,classify:confront|||All actions and methods adopted to confront dangers from outside.,unknown
2554,CMU\AFGP-2002-600002-Trans.xml,classify:dangers|||All actions and methods adopted to confront dangers from outside.,true
2555,CMU\AFGP-2002-600002-Trans.xml,classify:from|||All actions and methods adopted to confront dangers from outside.,other
2556,CMU\AFGP-2002-600002-Trans.xml,classify:outside|||All actions and methods adopted to confront dangers from outside.,other
2557,CMU\AFGP-2002-600002-Trans.xml,classify:Internal|||Internal: ,other
2558,CMU\AFGP-2002-600002-Trans.xml,classify:All|||All actions and methods adopted to confront dangers from within.,other
2559,CMU\AFGP-2002-600002-Trans.xml,classify:actions|||All actions and methods adopted to confront dangers from within.,true
2560,CMU\AFGP-2002-600002-Trans.xml,classify:and|||All actions and methods adopted to confront dangers from within.,other
2561,CMU\AFGP-2002-600002-Trans.xml,classify:methods|||All actions and methods adopted to confront dangers from within.,true
2562,CMU\AFGP-2002-600002-Trans.xml,classify:adopted|||All actions and methods adopted to confront dangers from within.,true
2563,CMU\AFGP-2002-600002-Trans.xml,classify:to|||All actions and methods adopted to confront dangers from within.,other
2564,CMU\AFGP-2002-600002-Trans.xml,classify:confront|||All actions and methods adopted to confront dangers from within.,unknown
2565,CMU\AFGP-2002-600002-Trans.xml,classify:dangers|||All actions and methods adopted to confront dangers from within.,true
2566,CMU\AFGP-2002-600002-Trans.xml,classify:from|||All actions and methods adopted to confront dangers from within.,other
2567,CMU\AFGP-2002-600002-Trans.xml,classify:within|||All actions and methods adopted to confront dangers from within.,other
2568,CMU\AFGP-2002-600002-Trans.xml,classify:Spying|||Spying: ,true
2569,CMU\AFGP-2002-600002-Trans.xml,classify:Confronting|||Confronting infiltration operations carried out by spying agents or moles.,true
2570,CMU\AFGP-2002-600002-Trans.xml,classify:infiltration|||Confronting infiltration operations carried out by spying agents or moles.,other
2571,CMU\AFGP-2002-600002-Trans.xml,classify:operations|||Confronting infiltration operations carried out by spying agents or moles.,true
2572,CMU\AFGP-2002-600002-Trans.xml,classify:carried|||Confronting infiltration operations carried out by spying agents or moles.,true
2573,CMU\AFGP-2002-600002-Trans.xml,classify:out|||Confronting infiltration operations carried out by spying agents or moles.,other
2574,CMU\AFGP-2002-600002-Trans.xml,classify:by|||Confronting infiltration operations carried out by spying agents or moles.,other
2575,CMU\AFGP-2002-600002-Trans.xml,classify:spying|||Confronting infiltration operations carried out by spying agents or moles.,other
2576,CMU\AFGP-2002-600002-Trans.xml,classify:agents|||Confronting infiltration operations carried out by spying agents or moles.,other
2577,CMU\AFGP-2002-600002-Trans.xml,classify:or|||Confronting infiltration operations carried out by spying agents or moles.,other
2578,CMU\AFGP-2002-600002-Trans.xml,classify:moles|||Confronting infiltration operations carried out by spying agents or moles.,other
2579,CMU\AFGP-2002-600002-Trans.xml,classify:Document|||(Document page 2),other
2580,CMU\AFGP-2002-600002-Trans.xml,classify:page|||(Document page 2),other
2581,CMU\AFGP-2002-600002-Trans.xml,classify:2|||(Document page 2),other
2582,CMU\AFGP-2002-600002-Trans.xml,classify:Chapter|||Chapter One,other
2583,CMU\AFGP-2002-600002-Trans.xml,classify:One|||Chapter One,other
2584,CMU\AFGP-2002-600002-Trans.xml,classify:External|||External Security,other
2585,CMU\AFGP-2002-600002-Trans.xml,classify:Security|||External Security,true
2586,CMU\AFGP-2002-600002-Trans.xml,classify:First|||First: ,other
2587,CMU\AFGP-2002-600002-Trans.xml,classify:Choosing|||Choosing the Location,true
2588,CMU\AFGP-2002-600002-Trans.xml,classify:the|||Choosing the Location,other
2589,CMU\AFGP-2002-600002-Trans.xml,classify:Location|||Choosing the Location,other
2590,CMU\AFGP-2002-600002-Trans.xml,"classify:Choosing|||Choosing mountainous locations, preferably 1-3 hours from main cities, which have water resources.",true
2591,CMU\AFGP-2002-600002-Trans.xml,"classify:mountainous|||Choosing mountainous locations, preferably 1-3 hours from main cities, which have water resources.",other
2592,CMU\AFGP-2002-600002-Trans.xml,"classify:locations|||Choosing mountainous locations, preferably 1-3 hours from main cities, which have water resources.",other
2593,CMU\AFGP-2002-600002-Trans.xml,"classify:preferably|||Choosing mountainous locations, preferably 1-3 hours from main cities, which have water resources.",other
2594,CMU\AFGP-2002-600002-Trans.xml,"classify:1-3|||Choosing mountainous locations, preferably 1-3 hours from main cities, which have water resources.",other
2595,CMU\AFGP-2002-600002-Trans.xml,"classify:hours|||Choosing mountainous locations, preferably 1-3 hours from main cities, which have water resources.",other
2596,CMU\AFGP-2002-600002-Trans.xml,"classify:from|||Choosing mountainous locations, preferably 1-3 hours from main cities, which have water resources.",other
2597,CMU\AFGP-2002-600002-Trans.xml,"classify:main|||Choosing mountainous locations, preferably 1-3 hours from main cities, which have water resources.",other
2598,CMU\AFGP-2002-600002-Trans.xml,"classify:cities|||Choosing mountainous locations, preferably 1-3 hours from main cities, which have water resources.",other
2599,CMU\AFGP-2002-600002-Trans.xml,"classify:which|||Choosing mountainous locations, preferably 1-3 hours from main cities, which have water resources.",other
2600,CMU\AFGP-2002-600002-Trans.xml,"classify:have|||Choosing mountainous locations, preferably 1-3 hours from main cities, which have water resources.",true
2601,CMU\AFGP-2002-600002-Trans.xml,"classify:water|||Choosing mountainous locations, preferably 1-3 hours from main cities, which have water resources.",other
2602,CMU\AFGP-2002-600002-Trans.xml,"classify:resources|||Choosing mountainous locations, preferably 1-3 hours from main cities, which have water resources.",other
2603,CMU\AFGP-2002-600002-Trans.xml,classify:2.Being|||2.Being close to cities is important in order to have important services.,true
2604,CMU\AFGP-2002-600002-Trans.xml,classify:close|||2.Being close to cities is important in order to have important services.,other
2605,CMU\AFGP-2002-600002-Trans.xml,classify:to|||2.Being close to cities is important in order to have important services.,other
2606,CMU\AFGP-2002-600002-Trans.xml,classify:cities|||2.Being close to cities is important in order to have important services.,other
2607,CMU\AFGP-2002-600002-Trans.xml,classify:is|||2.Being close to cities is important in order to have important services.,true
2608,CMU\AFGP-2002-600002-Trans.xml,classify:important|||2.Being close to cities is important in order to have important services.,other
2609,CMU\AFGP-2002-600002-Trans.xml,classify:in|||2.Being close to cities is important in order to have important services.,other
2610,CMU\AFGP-2002-600002-Trans.xml,classify:order|||2.Being close to cities is important in order to have important services.,unknown
2611,CMU\AFGP-2002-600002-Trans.xml,classify:to|||2.Being close to cities is important in order to have important services.,other
2612,CMU\AFGP-2002-600002-Trans.xml,classify:have|||2.Being close to cities is important in order to have important services.,other
2613,CMU\AFGP-2002-600002-Trans.xml,classify:important|||2.Being close to cities is important in order to have important services.,other
2614,CMU\AFGP-2002-600002-Trans.xml,classify:services|||2.Being close to cities is important in order to have important services.,other
2615,CMU\AFGP-2002-600002-Trans.xml,"classify:3.is|||3.is unviable, then choose a location next to official Buidings so as to avoid being bombarded.",other
2616,CMU\AFGP-2002-600002-Trans.xml,"classify:unviable|||3.is unviable, then choose a location next to official Buidings so as to avoid being bombarded.",true
2617,CMU\AFGP-2002-600002-Trans.xml,"classify:then|||3.is unviable, then choose a location next to official Buidings so as to avoid being bombarded.",other
2618,CMU\AFGP-2002-600002-Trans.xml,"classify:choose|||3.is unviable, then choose a location next to official Buidings so as to avoid being bombarded.",true
2619,CMU\AFGP-2002-600002-Trans.xml,"classify:a|||3.is unviable, then choose a location next to official Buidings so as to avoid being bombarded.",other
2620,CMU\AFGP-2002-600002-Trans.xml,"classify:location|||3.is unviable, then choose a location next to official Buidings so as to avoid being bombarded.",other
2621,CMU\AFGP-2002-600002-Trans.xml,"classify:next|||3.is unviable, then choose a location next to official Buidings so as to avoid being bombarded.",other
2622,CMU\AFGP-2002-600002-Trans.xml,"classify:to|||3.is unviable, then choose a location next to official Buidings so as to avoid being bombarded.",other
2623,CMU\AFGP-2002-600002-Trans.xml,"classify:official|||3.is unviable, then choose a location next to official Buidings so as to avoid being bombarded.",other
2624,CMU\AFGP-2002-600002-Trans.xml,"classify:Buidings|||3.is unviable, then choose a location next to official Buidings so as to avoid being bombarded.",other
2625,CMU\AFGP-2002-600002-Trans.xml,"classify:so|||3.is unviable, then choose a location next to official Buidings so as to avoid being bombarded.",other
2626,CMU\AFGP-2002-600002-Trans.xml,"classify:as|||3.is unviable, then choose a location next to official Buidings so as to avoid being bombarded.",other
2627,CMU\AFGP-2002-600002-Trans.xml,"classify:to|||3.is unviable, then choose a location next to official Buidings so as to avoid being bombarded.",other
2628,CMU\AFGP-2002-600002-Trans.xml,"classify:avoid|||3.is unviable, then choose a location next to official Buidings so as to avoid being bombarded.",unknown
2629,CMU\AFGP-2002-600002-Trans.xml,"classify:being|||3.is unviable, then choose a location next to official Buidings so as to avoid being bombarded.",other
2630,CMU\AFGP-2002-600002-Trans.xml,"classify:bombarded|||3.is unviable, then choose a location next to official Buidings so as to avoid being bombarded.",other
2631,CMU\AFGP-2002-600002-Trans.xml,"classify:4.is|||4.is not possible, then choose a location next to residential areas, for the same reason as above.",true
2632,CMU\AFGP-2002-600002-Trans.xml,"classify:not|||4.is not possible, then choose a location next to residential areas, for the same reason as above.",other
2633,CMU\AFGP-2002-600002-Trans.xml,"classify:possible|||4.is not possible, then choose a location next to residential areas, for the same reason as above.",other
2634,CMU\AFGP-2002-600002-Trans.xml,"classify:then|||4.is not possible, then choose a location next to residential areas, for the same reason as above.",other
2635,CMU\AFGP-2002-600002-Trans.xml,"classify:choose|||4.is not possible, then choose a location next to residential areas, for the same reason as above.",true
2636,CMU\AFGP-2002-600002-Trans.xml,"classify:a|||4.is not possible, then choose a location next to residential areas, for the same reason as above.",other
2637,CMU\AFGP-2002-600002-Trans.xml,"classify:location|||4.is not possible, then choose a location next to residential areas, for the same reason as above.",other
2638,CMU\AFGP-2002-600002-Trans.xml,"classify:next|||4.is not possible, then choose a location next to residential areas, for the same reason as above.",other
2639,CMU\AFGP-2002-600002-Trans.xml,"classify:to|||4.is not possible, then choose a location next to residential areas, for the same reason as above.",other
2640,CMU\AFGP-2002-600002-Trans.xml,"classify:residential|||4.is not possible, then choose a location next to residential areas, for the same reason as above.",other
2641,CMU\AFGP-2002-600002-Trans.xml,"classify:areas|||4.is not possible, then choose a location next to residential areas, for the same reason as above.",other
2642,CMU\AFGP-2002-600002-Trans.xml,"classify:for|||4.is not possible, then choose a location next to residential areas, for the same reason as above.",other
2643,CMU\AFGP-2002-600002-Trans.xml,"classify:the|||4.is not possible, then choose a location next to residential areas, for the same reason as above.",other
2644,CMU\AFGP-2002-600002-Trans.xml,"classify:same|||4.is not possible, then choose a location next to residential areas, for the same reason as above.",other
2645,CMU\AFGP-2002-600002-Trans.xml,"classify:reason|||4.is not possible, then choose a location next to residential areas, for the same reason as above.",true
2646,CMU\AFGP-2002-600002-Trans.xml,"classify:as|||4.is not possible, then choose a location next to residential areas, for the same reason as above.",other
2647,CMU\AFGP-2002-600002-Trans.xml,"classify:above|||4.is not possible, then choose a location next to residential areas, for the same reason as above.",other
2648,CMU\AFGP-2002-600002-Trans.xml,classify:5.should|||5.should be away from airports and main highways.,true
2649,CMU\AFGP-2002-600002-Trans.xml,classify:be|||5.should be away from airports and main highways.,unknown
2650,CMU\AFGP-2002-600002-Trans.xml,classify:away|||5.should be away from airports and main highways.,other
2651,CMU\AFGP-2002-600002-Trans.xml,classify:from|||5.should be away from airports and main highways.,other
2652,CMU\AFGP-2002-600002-Trans.xml,classify:airports|||5.should be away from airports and main highways.,other
2653,CMU\AFGP-2002-600002-Trans.xml,classify:and|||5.should be away from airports and main highways.,other
2654,CMU\AFGP-2002-600002-Trans.xml,classify:main|||5.should be away from airports and main highways.,other
2655,CMU\AFGP-2002-600002-Trans.xml,classify:highways|||5.should be away from airports and main highways.,other
2656,CMU\AFGP-2002-600002-Trans.xml,classify:It|||It is preferable it has its own private access in order to protect it and control it better.,other
2657,CMU\AFGP-2002-600002-Trans.xml,classify:is|||It is preferable it has its own private access in order to protect it and control it better.,true
2658,CMU\AFGP-2002-600002-Trans.xml,classify:preferable|||It is preferable it has its own private access in order to protect it and control it better.,other
2659,CMU\AFGP-2002-600002-Trans.xml,classify:it|||It is preferable it has its own private access in order to protect it and control it better.,other
2660,CMU\AFGP-2002-600002-Trans.xml,classify:has|||It is preferable it has its own private access in order to protect it and control it better.,true
2661,CMU\AFGP-2002-600002-Trans.xml,classify:its|||It is preferable it has its own private access in order to protect it and control it better.,other
2662,CMU\AFGP-2002-600002-Trans.xml,classify:own|||It is preferable it has its own private access in order to protect it and control it better.,other
2663,CMU\AFGP-2002-600002-Trans.xml,classify:private|||It is preferable it has its own private access in order to protect it and control it better.,other
2664,CMU\AFGP-2002-600002-Trans.xml,classify:access|||It is preferable it has its own private access in order to protect it and control it better.,other
2665,CMU\AFGP-2002-600002-Trans.xml,classify:in|||It is preferable it has its own private access in order to protect it and control it better.,other
2666,CMU\AFGP-2002-600002-Trans.xml,classify:order|||It is preferable it has its own private access in order to protect it and control it better.,other
2667,CMU\AFGP-2002-600002-Trans.xml,classify:to|||It is preferable it has its own private access in order to protect it and control it better.,other
2668,CMU\AFGP-2002-600002-Trans.xml,classify:protect|||It is preferable it has its own private access in order to protect it and control it better.,unknown
2669,CMU\AFGP-2002-600002-Trans.xml,classify:it|||It is preferable it has its own private access in order to protect it and control it better.,other
2670,CMU\AFGP-2002-600002-Trans.xml,classify:and|||It is preferable it has its own private access in order to protect it and control it better.,other
2671,CMU\AFGP-2002-600002-Trans.xml,classify:control|||It is preferable it has its own private access in order to protect it and control it better.,unknown
2672,CMU\AFGP-2002-600002-Trans.xml,classify:it|||It is preferable it has its own private access in order to protect it and control it better.,other
2673,CMU\AFGP-2002-600002-Trans.xml,classify:better|||It is preferable it has its own private access in order to protect it and control it better.,other
2674,CMU\AFGP-2002-600002-Trans.xml,classify:Second|||Second: ,other
2675,CMU\AFGP-2002-600002-Trans.xml,classify:Protection|||Protection Methods,true
2676,CMU\AFGP-2002-600002-Trans.xml,classify:Methods|||Protection Methods,other
2677,CMU\AFGP-2002-600002-Trans.xml,classify:Outside|||Outside Protection:,other
2678,CMU\AFGP-2002-600002-Trans.xml,classify:Protection|||Outside Protection:,true
2679,CMU\AFGP-2002-600002-Trans.xml,"classify:Barriers|||Barriers, walls, parking lots.",other
2680,CMU\AFGP-2002-600002-Trans.xml,"classify:walls|||Barriers, walls, parking lots.",other
2681,CMU\AFGP-2002-600002-Trans.xml,"classify:parking|||Barriers, walls, parking lots.",other
2682,CMU\AFGP-2002-600002-Trans.xml,"classify:lots|||Barriers, walls, parking lots.",other
2683,CMU\AFGP-2002-600002-Trans.xml,classify:b.Human|||b.Human protection,other
2684,CMU\AFGP-2002-600002-Trans.xml,classify:protection|||b.Human protection,true
2685,CMU\AFGP-2002-600002-Trans.xml,classify:Patrols|||- Patrols close to locations,true
2686,CMU\AFGP-2002-600002-Trans.xml,classify:close|||- Patrols close to locations,other
2687,CMU\AFGP-2002-600002-Trans.xml,classify:to|||- Patrols close to locations,other
2688,CMU\AFGP-2002-600002-Trans.xml,classify:locations|||- Patrols close to locations,other
2689,CMU\AFGP-2002-600002-Trans.xml,classify:Patrols|||- Patrols distant from the location.,true
2690,CMU\AFGP-2002-600002-Trans.xml,classify:distant|||- Patrols distant from the location.,other
2691,CMU\AFGP-2002-600002-Trans.xml,classify:from|||- Patrols distant from the location.,other
2692,CMU\AFGP-2002-600002-Trans.xml,classify:the|||- Patrols distant from the location.,other
2693,CMU\AFGP-2002-600002-Trans.xml,classify:location|||- Patrols distant from the location.,other
2694,CMU\AFGP-2002-600002-Trans.xml,classify:c.Animal|||c.Animal protection: ,other
2695,CMU\AFGP-2002-600002-Trans.xml,classify:protection|||c.Animal protection: ,true
2696,CMU\AFGP-2002-600002-Trans.xml,classify:Electronic|||Electronic protection: ,other
2697,CMU\AFGP-2002-600002-Trans.xml,classify:protection|||Electronic protection: ,true
2698,CMU\AFGP-2002-600002-Trans.xml,"classify:Cameras|||Cameras, alarm equipment, night vision equipment...etc.",other
2699,CMU\AFGP-2002-600002-Trans.xml,"classify:alarm|||Cameras, alarm equipment, night vision equipment...etc.",other
2700,CMU\AFGP-2002-600002-Trans.xml,"classify:equipment|||Cameras, alarm equipment, night vision equipment...etc.",other
2701,CMU\AFGP-2002-600002-Trans.xml,"classify:night|||Cameras, alarm equipment, night vision equipment...etc.",other
2702,CMU\AFGP-2002-600002-Trans.xml,"classify:vision|||Cameras, alarm equipment, night vision equipment...etc.",other
2703,CMU\AFGP-2002-600002-Trans.xml,"classify:equipment...etc|||Cameras, alarm equipment, night vision equipment...etc.",other
2704,CMU\AFGP-2002-600002-Trans.xml,classify:Document|||(Document page 3),other
2705,CMU\AFGP-2002-600002-Trans.xml,classify:page|||(Document page 3),other
2706,CMU\AFGP-2002-600002-Trans.xml,classify:3|||(Document page 3),other
2707,CMU\AFGP-2002-600002-Trans.xml,classify:Permanent|||Permanent Protection:,other
2708,CMU\AFGP-2002-600002-Trans.xml,classify:Protection|||Permanent Protection:,true
2709,CMU\AFGP-2002-600002-Trans.xml,classify:Barriers|||*Barriers,other
2710,CMU\AFGP-2002-600002-Trans.xml,classify:They|||They are erected according to the nature of the location.,other
2711,CMU\AFGP-2002-600002-Trans.xml,classify:are|||They are erected according to the nature of the location.,other
2712,CMU\AFGP-2002-600002-Trans.xml,classify:erected|||They are erected according to the nature of the location.,true
2713,CMU\AFGP-2002-600002-Trans.xml,classify:according|||They are erected according to the nature of the location.,true
2714,CMU\AFGP-2002-600002-Trans.xml,classify:to|||They are erected according to the nature of the location.,other
2715,CMU\AFGP-2002-600002-Trans.xml,classify:the|||They are erected according to the nature of the location.,other
2716,CMU\AFGP-2002-600002-Trans.xml,classify:nature|||They are erected according to the nature of the location.,other
2717,CMU\AFGP-2002-600002-Trans.xml,classify:of|||They are erected according to the nature of the location.,other
2718,CMU\AFGP-2002-600002-Trans.xml,classify:the|||They are erected according to the nature of the location.,other
2719,CMU\AFGP-2002-600002-Trans.xml,classify:location|||They are erected according to the nature of the location.,other
2720,CMU\AFGP-2002-600002-Trans.xml,classify:They|||They can take one of the following forms:,other
2721,CMU\AFGP-2002-600002-Trans.xml,classify:can|||They can take one of the following forms:,other
2722,CMU\AFGP-2002-600002-Trans.xml,classify:take|||They can take one of the following forms:,true
2723,CMU\AFGP-2002-600002-Trans.xml,classify:one|||They can take one of the following forms:,other
2724,CMU\AFGP-2002-600002-Trans.xml,classify:of|||They can take one of the following forms:,other
2725,CMU\AFGP-2002-600002-Trans.xml,classify:the|||They can take one of the following forms:,other
2726,CMU\AFGP-2002-600002-Trans.xml,classify:following|||They can take one of the following forms:,other
2727,CMU\AFGP-2002-600002-Trans.xml,classify:forms|||They can take one of the following forms:,other
2728,CMU\AFGP-2002-600002-Trans.xml,classify:Insert|||Insert 4 inch pipes in the ground at 50 centimeters apart and a height of one meter then fill them with cement.,true
2729,CMU\AFGP-2002-600002-Trans.xml,classify:4|||Insert 4 inch pipes in the ground at 50 centimeters apart and a height of one meter then fill them with cement.,other
2730,CMU\AFGP-2002-600002-Trans.xml,classify:inch|||Insert 4 inch pipes in the ground at 50 centimeters apart and a height of one meter then fill them with cement.,other
2731,CMU\AFGP-2002-600002-Trans.xml,classify:pipes|||Insert 4 inch pipes in the ground at 50 centimeters apart and a height of one meter then fill them with cement.,other
2732,CMU\AFGP-2002-600002-Trans.xml,classify:in|||Insert 4 inch pipes in the ground at 50 centimeters apart and a height of one meter then fill them with cement.,other
2733,CMU\AFGP-2002-600002-Trans.xml,classify:the|||Insert 4 inch pipes in the ground at 50 centimeters apart and a height of one meter then fill them with cement.,other
2734,CMU\AFGP-2002-600002-Trans.xml,classify:ground|||Insert 4 inch pipes in the ground at 50 centimeters apart and a height of one meter then fill them with cement.,other
2735,CMU\AFGP-2002-600002-Trans.xml,classify:at|||Insert 4 inch pipes in the ground at 50 centimeters apart and a height of one meter then fill them with cement.,other
2736,CMU\AFGP-2002-600002-Trans.xml,classify:50|||Insert 4 inch pipes in the ground at 50 centimeters apart and a height of one meter then fill them with cement.,other
2737,CMU\AFGP-2002-600002-Trans.xml,classify:centimeters|||Insert 4 inch pipes in the ground at 50 centimeters apart and a height of one meter then fill them with cement.,other
2738,CMU\AFGP-2002-600002-Trans.xml,classify:apart|||Insert 4 inch pipes in the ground at 50 centimeters apart and a height of one meter then fill them with cement.,other
2739,CMU\AFGP-2002-600002-Trans.xml,classify:and|||Insert 4 inch pipes in the ground at 50 centimeters apart and a height of one meter then fill them with cement.,other
2740,CMU\AFGP-2002-600002-Trans.xml,classify:a|||Insert 4 inch pipes in the ground at 50 centimeters apart and a height of one meter then fill them with cement.,other
2741,CMU\AFGP-2002-600002-Trans.xml,classify:height|||Insert 4 inch pipes in the ground at 50 centimeters apart and a height of one meter then fill them with cement.,other
2742,CMU\AFGP-2002-600002-Trans.xml,classify:of|||Insert 4 inch pipes in the ground at 50 centimeters apart and a height of one meter then fill them with cement.,other
2743,CMU\AFGP-2002-600002-Trans.xml,classify:one|||Insert 4 inch pipes in the ground at 50 centimeters apart and a height of one meter then fill them with cement.,other
