|input_text|target_text
23|source target factuality: I think that the mood is fairly gloomy, and I think it's not going to change for a couple of years.|"I [think|true] that the mood is fairly gloomy, and I [think|true] it's not going to change for a couple of years."
24|source target factuality: So for Hong Kong, it's time, as investment bankers like to say, to reposition.|"So for Hong Kong, it's [time|true], as investment bankers like to say, to [reposition|unknown]."
25|source target factuality: To either hold on tight or get out, as much of Asia goes into recession.|"To either hold on tight or get out, as much of Asia goes into [recession|true][hold|unknown] on tight or [get|unknown] out, as much of Asia [goes|true] into recession."
26|source target factuality: In Washington today, the Federal Aviation Administration released air traffic control tapes from the night the TWA Flight eight hundred went down.|"In Washington today, the Federal Aviation Administration [released|true] air traffic control tapes from the night the TWA Flight eight hundred [went|true] down."
27|source target factuality: There's nothing new on why the plane exploded, but you cannot miss the moment.|"There's nothing new on why the plane [exploded|true], but you cannot miss the moment."
28|source target factuality: There was no hint of trouble in the last conversation between controllers and TWA pilot Steven Snyder|"There was no hint of trouble in the last [conversation|true][hint|false] of trouble in the last conversation between controllers and TWA pilot Steven Snyder"
29|source target factuality: TWA eight hundred climb maintain one five thousand.|"TWA eight hundred climb [maintain|true] one five thousand."
30|source target factuality: TWA's eight hundred heavy climb and maintain one five thousand leavin- three thousand.|"TWA's eight hundred heavy climb and [maintain|true] one five thousand leavin- three thousand."
31|source target factuality: But a minute and a half later, a pilot from a nearby flight calls in.|"But a minute and a half later, a pilot from a nearby flight [calls|true] in."
32|source target factuality: Ah, we just saw an explosion up ahead of us here about sixteen thousand feet or something like that.|"Ah, we just [saw|true] an explosion up ahead of us here about sixteen thousand feet or something like that."
33|source target factuality: It just went down.|"It just [went|true] down."
34|source target factuality: The controller at Boston center tries to raise TWA eight hundred.|"The controller at Boston center [tries|true] to [raise|unknown] TWA eight hundred."
35|source target factuality: TWA eight hundred, if you hear center, ident.|"TWA eight hundred, if you [hear|unknown] center, [ident|unknown]."
36|source target factuality: There is no response.|"There is no [response|false]."
37|source target factuality: Later, the controller asks the Eastwind pilot for more details.|"Later, the controller [asks|true] the Eastwind pilot for more details."
38|source target factuality: It- It just blew up in the air, and then we saw two fireballs go down to the, to the water, and there was a big small, ah, smoke, from ah , coming up from that.|"It- It just [blew|true] up in the air, and then we [saw|true] two fireballs go down to the, to the water, and there was a big small, ah, smoke, from ah , [coming|true] up from that."
39|source target factuality: At one point, when it became clear controllers could not contact the plane, someone said a prayer.|"At one point, when it became clear controllers could not [contact|false][became|true] clear controllers could not contact the plane, someone [said|true] a prayer."
40|source target factuality: People have predicted his demise so many times, and the US has tried to hasten it on several occasions.|"People have [predicted|true] his demise so many times, and the US has [tried|true] to [hasten|unknown] it on several occasions."
41|source target factuality: Time and again, he endures.|"Time and again, he [endures|true]."
42|source target factuality: He has outlasted and sometimes outsmarted eight American presidents.|"He has [outlasted|true] and sometimes [outsmarted|true] eight American presidents."
43|source target factuality: Fidel Castro invited John Paul to come for a reason.|"Fidel Castro invited John Paul to [come|unknown][invited|true] John Paul to come for a reason."
44|source target factuality: The entire world will see images of the Pope in Cuba.|"The entire world will [see|true] images of the Pope in Cuba."
45|source target factuality: They'll see images of the Pope with Fidel Castro.|"They'll [see|true] images of the Pope with Fidel Castro."
46|source target factuality: It will give the rest of the world the view that Cuba is like any other nation, something the US has, of course, tried to persuade the world that it is not|"It will [give|true] the rest of the world the view that Cuba is like any other nation, something the US has, of course, [tried|true] to [persuade|unknown][like|unknown][view|true] that Cuba is like any other nation, something the US has, of course, tried to persuade the world that it is not"
47|source target factuality: For nearly forty years, the United States has said categorically it would not tolerate totalitarian rule in its own backyard.|"For nearly forty years, the United States has [said|true] categorically it would not tolerate totalitarian [rule|unknown] in its own backyard."
48|source target factuality: It is the US economic and political embargo which has kept Cuba in a box.|"It is the US economic and political [embargo|true] which has [kept|true] Cuba [in|true] a box."
49|source target factuality: The main positive for Castro to invite the Pope is international, to be able to say to the rest of the world, this government is not as closed, as intolerant, uh as totalitarian as some make it out to be.|"The main positive for Castro to invite the Pope is international, to be [able|unknown][invite|unknown] the Pope is international, to be able to [say|unknown] to the rest of the world, this government is not as [closed|unknown], as [intolerant|unknown], uh as [totalitarian|unknown] as some [make|true] it out to be."
50|source target factuality: One of the scenarios widely advanced before the visit is that through the Pope, Cuba, still led by Castro, can begin a more productive relationship with the world.|"One of the scenarios widely [advanced|true] before the visit is that through the Pope, Cuba, still led by Castro, can begin a more productive [relationship|unknown][visit|true] is that through the Pope, Cuba, still [led|true] by Castro, can [begin|unknown] a more productive relationship with the world."
51|source target factuality: That will, in turn, bring pressure on Washington to change.|"That will, in turn, [bring|true] pressure on Washington to [change|unknown]."
52|source target factuality: Those observers looking for a battle between uncompromising representatives and very different ideologies will, in all likelihood, be disappointed.|"Those observers [looking|true] for a [battle|possibly false] between uncompromising representatives and very different ideologies will, in all likelihood, be [disappointed|possibly true]."
53|source target factuality: He says he and the Pope both want to end the exploitation of man by man.|"He [says|true] he and the Pope both want to [end|unknown] the [exploitation|true] of man by man."
54|source target factuality: The question is who will Cubans believe?|"The question is who will Cubans [believe|unknown]?"
55|source target factuality: The main negative is the risk that the Pope's visit will persuade a great many more Cubans to break loose of the Cuban government.|"The main negative is the [risk|true] that the Pope's [visit|true] will [persuade|possibly true] a great many more Cubans to [break|possibly true] loose of the Cuban government."
56|source target factuality: If so, then the Pope's visit would really open up a new chapter in the government's relations with its own society.|"If so, then the Pope's visit would really [open|unknown][visit|true] would really open up a new chapter in the government's [relations|true] with its own society."
57|source target factuality: Finally today, we learned that the space agency has finally taken a giant leap forward.|"Finally today, we [learned|true] that the space agency has finally taken a giant leap forward."
58|source target factuality: Air Force Lieutenant Colonel Eileen Collins will be named commander of the Space Shuttle Columbia for a mission in December.|"Air Force Lieutenant Colonel Eileen Collins will be named [commander|true] of the Space Shuttle Columbia for a [mission|true][named|true] commander of the Space Shuttle Columbia for a mission in December."
59|source target factuality: Colonel Collins has been the co-pilot before, but this time she's the boss.|"Colonel Collins has been the [co|true]-pilot before, but this time she's the [boss|true]."
60|source target factuality: It wasn't until twenty years after the first astronauts were chosen that NASA finally included six women, and they were all scientists, not pilots.|"It wasn't until twenty years after the first astronauts were [chosen|true] that NASA finally [included|true] six women, and they were all scientists, not pilots."
61|source target factuality: No woman has actually been in charge of a mission until now.|"No woman has actually been [in|false] charge of a mission until now."
62|source target factuality: Just the fact that we 're doing the job that we 're doing makes us role models.|"Just the fact that we 're doing the job that we 're doing [makes|true] us role [models|true][doing|true] the job that we 're doing makes us role models."
63|source target factuality: That was Eileen Collins, after she flew as the first ever co-pilot.|"That was Eileen Collins, after she [flew|true][That|true] was Eileen Collins, after she flew as the first ever co-pilot."
64|source target factuality: In space, some say female pilots were held up until now by the lack of piloting opportunities for them in the military.|"In space, some say female pilots were [held|unknown] up until now by the [lack|unknown] of piloting opportunities for them in the military."
65|source target factuality: Once Colonel Collins was picked as a NASA astronaut, she followed a normal progression within NASA.|"Once Colonel Collins was [picked|true] as a NASA astronaut, she [followed|true][astronaut|true], she followed a normal [progression|true] within NASA."
66|source target factuality: Nobody hurried her up.|"Nobody [hurried|false] her up."
67|source target factuality: No one held her back.|"No one [held|false] her back."
68|source target factuality: Many NASA watchers say female astronauts have become part of the agency's routine.|"Many NASA watchers [say|true] female astronauts have become part of the agency's routine."
69|source target factuality: But they still have catching up to do two hundred and thirty four Americans have flown in space, only twenty six of them women.|"But they still have [catching|unknown] up to do two hundred and thirty four Americans have [flown|true][flown|true] in space, only twenty six of them women."
70|source target factuality: Iraq's Saddam Hussein, facing U.S. and Arab troops at the Saudi border, today sought peace on another front by promising to withdraw from Iranian territory and release soldiers captured during the Iran-Iraq war.|"Iraq's Saddam Hussein, facing U.S. and Arab troops at the Saudi border, today sought peace on another front by promising to withdraw from Iranian territory and [release|unknown] soldiers [captured|true] during the Iran-Iraq [war|true][facing|true] U.S. and Arab troops at the Saudi border, today [sought|true] [peace|unknown] on another front by [promising|true] to [withdraw|unknown] from Iranian territory and release soldiers captured during the Iran-Iraq war."
71|source target factuality: Also today, King Hussein of Jordan arrived in Washington seeking to mediate the Persian Gulf crisis.|"Also today, King Hussein of Jordan [arrived|true] in Washington [seeking|true] to [mediate|unknown] the Persian Gulf [crisis|true]."
72|source target factuality: President Bush on Tuesday said the United States may extend its naval quarantine to Jordan's Red Sea port of Aqaba to shut off Iraq's last unhindered trade route.|"President Bush on Tuesday [said|true] the United States may extend its naval [quarantine|true] to Jordan's Red Sea port of Aqaba to shut off Iraq's last unhindered trade route."
73|source target factuality: In another mediation effort, the Soviet Union said today it had sent an envoy to the Middle East on a series of stops to include Baghdad.|"In another mediation effort, the Soviet Union [said|true] today it had sent an envoy to the Middle East on a series of stops to include Baghdad."
74|source target factuality: Soviet officials also said Soviet women, children and invalids would be allowed to leave Iraq.|"Soviet officials also [said|true] Soviet women, children and invalids would be allowed to [leave|unknown] Iraq."
75|"source target factuality: President Bush today denounced Saddam's ""ruinous policies of war,"" and said the United States is ""striking a blow for the principle that might does not make right."""|"President Bush today [denounced|true] Saddam's ""ruinous policies of war,"" and [said|true] the United States is ""striking a blow for the principle that might does not make right."""
76|source target factuality: In a speech delivered at the Pentagon, Bush seemed to suggest that American forces could be in the gulf region for some time.|"In a [speech|true] [delivered|true] at the Pentagon, Bush [seemed|true] to [suggest|possibly true] that American forces could be in the gulf region for some time."
77|"source target factuality: ""No one should doubt our staying power or determination,"" he said."|"""No one should [doubt|unknown] our staying power or determination,"" he [said|true]."
78|source target factuality: The U.S. military buildup in Saudi Arabia continued at fever pace, with Syrian troops now part of a multinational force camped out in the desert to guard the Saudi kingdom from any new thrust by Iraq.|"The U.S. military [buildup|true] in Saudi Arabia [continued|true] at fever pace, with Syrian troops now [part|true] of a multinational force [camped|true] out in the desert to [guard|true] the Saudi kingdom from any new [thrust|unknown] by Iraq."
79|source target factuality: In a letter to President Hashemi Rafsanjani of Iran, read by a broadcaster over Baghdad radio, Saddam said he will begin withdrawing troops from Iranian territory on Friday and release Iranian prisoners of war.|"In a letter to President Hashemi Rafsanjani of Iran, [read|true] by a broadcaster over Baghdad radio, Saddam [said|true] he will begin withdrawing troops from Iranian territory on Friday and release Iranian prisoners of war."
80|"source target factuality: Iran said an Iraqi diplomatic delegation was en route to Tehran to deliver Saddam's message, which it said it would review ""with optimism."""|"Iran [said|true] an Iraqi diplomatic delegation was en route to Tehran to [deliver|unknown] Saddam's message, which it [said|true] it would review ""with optimism."""
81|source target factuality: Saddam appeared to accept a border demarcation treaty he had rejected in peace talks following the August 1988 cease-fire of the eight-year war with Iran.|"Saddam appeared to accept a border demarcation treaty he had rejected in peace talks [following|true][appeared|true] to [accept|possibly true] a border demarcation [treaty|true] he had [rejected|true] in peace [talks|true] following the August 1988 [cease|true]-fire of the eight-year [war|true] with Iran."
82|source target factuality: The move seemed aimed at heading off more trouble with Iran, which had condemned Iraq's invasion of Kuwait on Aug. 2 but also criticized the multinational force dispatched to Saudi Arabia.|"The move [seemed|true] [aimed|possibly true] at [heading|unknown] off more [trouble|true] with Iran, which had [condemned|true] Iraq's [invasion|true] of Kuwait on Aug. 2 but also [criticized|true] the multinational force [dispatched|true] to Saudi Arabia."
83|"source target factuality: Saddam said he sought to ""turn the gulf into a lake of peace free of foreign fleets and forces that harbor ill intentions against us."""|"Saddam [said|true] he sought to ""[turn|unknown] the gulf into a lake of [peace|unknown] [free|unknown] of foreign fleets and forces that harbor ill intentions against us."""
84|source target factuality: The Pentagon said that Defense Secretary Dick Cheney is considering urging Bush to order a national callup of armed forces reserves for active duty because of the drain on units sending soldiers abroad.|"The Pentagon said that Defense Secretary Dick Cheney is considering [urging|unknown] Bush to [order|unknown] a national [callup|unknown] of armed forces reserves for active [duty|unknown] because of the [drain|true] on units [sending|true][said|true] that Defense Secretary Dick Cheney is considering urging Bush to order a national callup of armed forces reserves for active duty because of the drain on units sending soldiers abroad."
85|source target factuality: Bush can call up to 200,000 reservists for up to 180 days without seeking congressional approval.|"Bush can [call|unknown] up to 200,000 reservists for up to 180 days without [seeking|unknown] congressional [approval|unknown]."
86|source target factuality: Soviet Foreign Ministry spokesman Yuri Gremitskikh said special ambassador Mikhail Sytenko left Tuesday for consultations with the governments of Syria, Jordan, Egypt and other Arab countries.|"Soviet Foreign Ministry spokesman Yuri Gremitskikh [said|true] special ambassador Mikhail Sytenko left Tuesday for consultations with the governments of Syria, Jordan, Egypt and other Arab countries."
87|source target factuality: Sytenko, a former deputy secretary-general of the United Nations, is also expected to visit Baghdad, Gremitskikh said at a regular news briefing today.|"Sytenko, a former deputy secretary-general of the United Nations, is also expected to visit Baghdad, Gremitskikh [said|true] at a regular news [briefing|true] today."
88|source target factuality: The outlook darkened for about 3,000 Americans caught in Iraq and Kuwait when Saddam sent his forces into the small, oil-rich sultanate.|"The outlook [darkened|true] for about 3,000 Americans [caught|true] in Iraq and Kuwait when Saddam [sent|true] his forces into the small, oil-rich sultanate."
89|"source target factuality: The Iraqi ambassador to Greece said in Athens the Americans and other stranded foreigners could leave ""as soon as the threats from the United States and its allies are eliminated."""|"The Iraqi ambassador to Greece [said|true] in Athens the Americans and other stranded foreigners could [leave|unknown][stranded|true] foreigners could leave ""as soon as the threats from the United States and its allies are eliminated."""
90|"source target factuality: ABC quoted an Iraqi Foreign Ministry official in Baghdad as saying Americans in Iraq are ""restrictees"" who will stay there until the crisis ends."|"ABC [quoted|true] an Iraqi Foreign Ministry official in Baghdad as saying Americans in Iraq are ""restrictees"" who will stay there until the [crisis|true] ends."
91|source target factuality: The Soviet Foreign Ministry said Soviet women, children and invalids would be permitted to leave Iraq.|"The Soviet Foreign Ministry [said|true] Soviet women, children and invalids would be permitted to [leave|unknown] Iraq."
92|source target factuality: Spokesman Yuri Gremitskikh said the first group of 230 evacuees was assembling in Baghdad today, but evacuation plans were hampered by desert heat and lack of transportation.|"Spokesman Yuri Gremitskikh [said|true] the first group of 230 evacuees was assembling in Baghdad today, but evacuation [plans|true][evacuation|unknown] plans were hampered by desert heat and lack of transportation."
93|source target factuality: Nearly 9,000 Soviets were among the hundreds of thousands of foreigners trapped in Iraq and Kuwait.|"Nearly 9,000 Soviets were among the hundreds of thousands of foreigners [trapped|true] in Iraq and Kuwait."
94|source target factuality: Iraq has agreed to allow all 880 Soviets in Kuwait to leave, but only by a 1,200-mile road route through Iraq and to the Iraq-Jordan border.|"Iraq has [agreed|true] to [allow|true] all 880 Soviets in Kuwait to [leave|unknown], but only by a 1,200-mile road route through Iraq and to the Iraq-Jordan border."
95|source target factuality: The British Foreign Office said today conditions in Kuwait appear to be deteriorating.|"The British Foreign Office [said|true] today conditions in Kuwait appear to be deteriorating."
96|source target factuality: There have been reports of wholesale looting but food and gasoline were still available, said a spokesman, who by custom was not identified.|"There have been reports of wholesale looting but food and gasoline were still available, [said|true] a spokesman, who by custom was not [identified|false]."
97|source target factuality: Banks remained closed.|"Banks [remained|true] [closed|true]."
98|source target factuality: The Iraqi ambassador to Venezuela said on Tuesday that Iraq would retaliate against Venezuela and other OPEC oil cartel members if they boost oil production to fill the gap created by blocked supplies from Iraq and Kuwait.|"The Iraqi ambassador to Venezuela [said|true] on Tuesday that Iraq would [retaliate|unknown] against Venezuela and other OPEC oil cartel members if they [boost|unknown] oil production to [fill|unknown] the gap [created|true] by [blocked|true] supplies from Iraq and Kuwait."
99|"source target factuality: With Kuwait now ""annexed,"" Iraq has control of 20 percent of the world's oil reserves."|"With Kuwait now ""[annexed|true],"" Iraq has [control|true] of 20 percent of the world's oil reserves."
100|source target factuality: A steep rise in world oil prices followed the Kuwait invasion.|"A steep [rise|true] in world oil prices followed the Kuwait [invasion|true]."
101|source target factuality: The U.N. Security Council on Aug. 6 ordered a global embargo on trade with Iraq as punishment for seizing Kuwait.|"The U.N. Security Council on Aug. 6 [ordered|true] a global [embargo|unknown] on trade with Iraq as [punishment|unknown] for [seizing|true] Kuwait."
102|source target factuality: Bush then sent U.S. troops and planes to Saudi Arabia, saying Iraqi troops massed nearby in Kuwait threatened Saudi Arabia and its vast oil reserves.|"Bush then [sent|true] U.S. troops and planes to Saudi Arabia, [saying|true] Iraqi troops massed nearby in Kuwait threatened Saudi Arabia and its vast oil reserves."
103|source target factuality: Twelve Arab League nations voted for an Arab force to protect Saudi Arabia, with the vanguard of Syria's contingent arriving Tuesday, according to diplomatic sources in Riyadh, the Saudi capital.|"Twelve Arab League nations voted for an Arab force to [protect|unknown] Saudi Arabia, with the vanguard of Syria's contingent arriving Tuesday, [according|true] to diplomatic sources in Riyadh, the Saudi capital."
104|source target factuality: Egyptian and Moroccan troops are already there.|"Egyptian and Moroccan troops are already [there|true]."
105|source target factuality: The predominantly Moslem nation of Bangladesh said today its troops would join multinational forces in Saudi Arabia.|"The predominantly Moslem nation of Bangladesh [said|true] today its troops would join multinational forces in Saudi Arabia."
106|source target factuality: The size of the contingent was not disclosed.|"The size of the contingent was not [disclosed|false]."
107|source target factuality: Turkey and Saudi Arabia in effect shut down Iraq's major oil outlets through those countries, but according to Jordanian officials, a smaller line into Jordan remained operating.|"Turkey and Saudi Arabia in effect [shut|true] down Iraq's major oil outlets through those countries, but [according|true] to Jordanian officials, a smaller line into Jordan remained operating."
108|source target factuality: Truckloads of goods rolled into Iraq from Jordan on Tuesday and Iraqi-bound cargo was unloaded from ships at the Red Sea port ofAqaba despite the U.N.-ordered sanctions.|"Truckloads of goods [rolled|true] into Iraq from Jordan on Tuesday and Iraqi-bound cargo was [unloaded|true] from ships at the Red Sea port ofAqaba despite the U.N.-ordered [sanctions|true]."
109|source target factuality: King Hussein was reportedly carrying a message to Bush from Iraq's Saddam, with whom the king met Monday.|"King Hussein was reportedly [carrying|unknown] a message to Bush from Iraq's Saddam, with whom the king [met|true] Monday."
110|source target factuality: The monarch will meet Bush on Thursday in Kennebunkport, Maine.|"The monarch will [meet|true] Bush on Thursday in Kennebunkport, Maine."
111|source target factuality: Crown Prince Hassan, King Hussein's brother and political adviser, was asked today about the message the king was said to be carrying.|"Crown Prince Hassan, King Hussein's brother and political adviser, was [asked|true] today about the message the king was [said|true] to be carrying."
112|"source target factuality: In an interview from Jordan on ABC, he declined to discuss details, but said: ""I don't think that his majesty would be traveling at this crucial moment if the Iraqi leadership did not have a rational approach to the future."""|"In an [interview|true] from Jordan on ABC, he [declined|true] to [discuss|false] details, but [said|true]: ""I don't think that his majesty would be traveling at this crucial moment if the Iraqi leadership did not have a rational approach to the future."""
113|source target factuality: A CBS News report citing unidentified Jordanian sources said that Saddam's message called for an international conference to be convened to discuss an Iraqi withdrawal from Kuwait.|"A CBS News [report|true] [citing|true] unidentified Jordanian sources [said|true] that Saddam's message called for an international [conference|unknown] to be [convened|unknown] to [discuss|unknown] an Iraqi [withdrawal|unknown] from Kuwait."
114|source target factuality: In exchange, the buildup of U.S. forces in the region would halt.|"In [exchange|unknown], the [buildup|true] of U.S. forces in the region would [halt|unknown]."
115|source target factuality: Bush, however, says he sees no short-term hope for a diplomatic solution to the gulf crisis at least until economic sanctions force Saddam to withdraw his army.|"Bush, however, [says|true] he sees no short-term hope for a diplomatic solution to the gulf [crisis|true] at least until economic sanctions force Saddam to withdraw his army."
116|source target factuality: Bush held out the prospect of more aid to Jordan if it cooperates with the trade embargo.|"Bush [held|true] out the prospect of more [aid|unknown] to Jordan if it [cooperates|unknown] with the trade [embargo|true]."
117|source target factuality: On Tuesday, the United States and Soviet Union conferred in Washington on putting an anti-Iraq naval blockade under a United Nations umbrella.|"On Tuesday, the United States and Soviet Union [conferred|true] in Washington on [putting|unknown] an anti-Iraq naval [blockade|possibly true] under a United Nations umbrella."
118|source target factuality: The United States has provided most of the naval vessels so far to block Iraqi trade, with Britain, West Germany and Australia among the other nations lending support at sea.|"The United States has [provided|true] most of the naval vessels so far to block Iraqi trade, with Britain, West Germany and Australia among the other nations [lending|true] support at sea."
119|source target factuality: The embargo is meant to cripple Iraq by cutting off its exports of oil and imports of food and military supplies.|"The [embargo|true] is [meant|true] to [cripple|unknown] Iraq by [cutting|unknown] off its exports of oil and imports of food and military supplies."
120|source target factuality: Iraq imports about three-quarters of its foodstuffs.|"Iraq [imports|true] about three-quarters of its foodstuffs."
121|source target factuality: U.S. allies and other U.N. members have objected that the Security Council embargo resolution did not specifically authorize such a naval operation.|"U.S. allies and other U.N. members have objected that the Security Council embargo [resolution|true][objected|true] that the Security Council embargo resolution did not specifically authorize such a naval [operation|unknown]."
122|"source target factuality: Bush told a news conference on Tuesday that the naval barricade now in force might be extended to Jordan's Aqaba ""if it is a hole through which commerce flows"" in and out of Iraq."|"Bush [told|true] a news conference on Tuesday that the naval [barricade|true] now in force might be extended to Jordan's Aqaba ""if it is a hole through which commerce [flows|unknown]"" in and out of Iraq."
123|"source target factuality: In Saudi Arabia, today is the eighth day of ""Desert Shield,"" the operation designed to confront an estimated 200,000 Iraqi soldiers now in Kuwait."|"In Saudi Arabia, today is the eighth day of ""Desert Shield,"" the operation designed to confront an estimated 200,000 Iraqi soldiers now [in|true][operation|true] [designed|true] to [confront|unknown] an estimated 200,000 Iraqi soldiers now in Kuwait."
124|source target factuality: Iraq boasts an army of 1 million members.|"Iraq [boasts|true] an army of 1 million members."
125|source target factuality: At least 50,000 U.S. troops are expected to be committed to Desert Shield within weeks, including Marines, Army air assault forces, paratroopers and infantry.|"At least 50,000 U.S. troops are [expected|true] to be [committed|possibly true] to [Desert|true] Shield within weeks, including Marines, Army air assault forces, paratroopers and infantry."
126|source target factuality: Iraq said it invaded Kuwait because of disputes over oil and money.|"Iraq [said|true] it [invaded|true] Kuwait because of disputes over oil and money."
127|source target factuality: It accused Kuwait of deliberately slashing Iraqi oil revenues by overproducing oil and driving down prices, among other charges.|"It [accused|true] Kuwait of deliberately slashing Iraqi oil revenues by overproducing oil and driving down prices, among other charges."
128|source target factuality: Iraq has 17 million residents, and Kuwait about 1.9 million.|"Iraq [has|true] 17 million residents, and Kuwait about 1.9 million."
129|source target factuality: The Persian Gulf showdown between Iraq and the United States took a more personal turn Thursday when Iraq's Saddam Hussein called President Bush a liar and said the outbreak of holy war could bring thousands of Americans home in coffins.|"The Persian Gulf [showdown|true] between Iraq and the United States [took|true] a more personal turn Thursday when Iraq's Saddam Hussein called President Bush a liar and said the [outbreak|unknown] of holy [war|unknown][called|true] President Bush a liar and [said|true] the outbreak of holy war could bring thousands of Americans home in coffins."
130|source target factuality: Bush, commenting on the two-week-old gulf crisis from his vacation home in Maine, said he saw little reason to be optimistic about a settlement of the dispute, which stems from Iraq's invasion of oil-wealthy Kuwait and its subsequent military buildup on the border of Saudi Arabia.|"Bush, commenting on the two-week-old gulf crisis from his vacation home in Maine, [said|true] he saw little reason to be optimistic about a settlement of the dispute, which [stems|true][dispute|true], which stems from Iraq's [invasion|true] of oil-wealthy Kuwait and its subsequent military [buildup|true][commenting|true] on the two-week-old gulf [crisis|true] from his vacation home in Maine, said he saw little reason to be optimistic about a settlement of the dispute, which stems from Iraq's invasion of oil-wealthy Kuwait and its subsequent military buildup on the border of Saudi Arabia."
131|"source target factuality: After a two-hour meeting at his Kennebunkport home with King Hussein of Jordan, Bush said, ""I did not come away with any feeling of hope"" that Iraq would withdraw its army from Kuwait."|"After a two-hour meeting at his Kennebunkport home with King Hussein of Jordan, Bush [said|true][meeting|true] at his Kennebunkport home with King Hussein of Jordan, Bush said, ""I did not come away with any feeling of hope"" that Iraq would withdraw its army from Kuwait."
132|source target factuality: Bush also said Thursday that King Hussein assured him Jordan would close the last remaining free port to most Iraqi trade as the economic embargo on materials to Iraq continued unabated.|"Bush also [said|true] Thursday that King Hussein assured him Jordan would close the last remaining free port to most Iraqi trade as the economic [embargo|true] on materials to Iraq continued [unabated|true][continued|true] unabated."
133|source target factuality: Foodstuffs are among the goods being blocked from entry;|"Foodstuffs are among the goods being [blocked|true] from [entry|false];"
134|source target factuality: Pentagon sources in Washington meanwhile said the Bush administration plans to deploy 45,000 Marines to the region to back up the thousands of Army, Navy and Air Force troops already in place in the gulf and the Saudi desert.|"Pentagon sources in Washington meanwhile said the Bush administration plans to deploy 45,000 Marines to the region to [back|unknown][said|true] the Bush administration plans to [deploy|unknown] 45,000 Marines to the region to back up the thousands of Army, Navy and Air Force troops already in place in the gulf and the Saudi desert."
135|"source target factuality: At a news conference, Secretary of State James A. Baker III said Jordan "" is seeking some guidance"" about a provision in the U.N.-backed trade embargo that allows food for humanitarian purposes."|"At a news [conference|true], Secretary of State James A. Baker III said Jordan "" is seeking some [guidance|unknown]"" about a provision in the U.N.-backed trade [embargo|true][said|true] Jordan "" is seeking some guidance"" about a provision in the U.N.-backed trade embargo that allows food for humanitarian purposes."
136|source target factuality: Worries however grew about the safety of Americans and other Westerners trapped in Kuwait.|"Worries however grew about the [safety|unknown][grew|true] about the safety of Americans and other Westerners [trapped|true] in Kuwait."
