,file,input_text,target_text
148,CMU/AFGP-2002-600002-Trans.xml,LU Factuality: These are placed at the main gate in order to puncture the tires of any car crashing in.,"(placed, true); (crashing, true); (puncture, unknown)"
149,CMU/AFGP-2002-600002-Trans.xml,LU Factuality: Fences are the best form of permanent protection.,"(are, true); (protection, true)"
150,CMU/AFGP-2002-600002-Trans.xml,LU Factuality: It shields off all activities which take place inside the location.,"(shields, true); (activities, true); (take, true)"
151,CMU/AFGP-2002-600002-Trans.xml,LU Factuality: The following should be considered when erecting fences:,"(erecting, true); (should, true); (considered, unknown)"
152,CMU/AFGP-2002-600002-Trans.xml,"LU Factuality: The fence which is built out of bricks or concrete should be 4 meters high, then topped with one meter high barbed wire fence.","(topped, true); (should, true); (built, true); (be, unknown)"
153,CMU/AFGP-2002-600002-Trans.xml,LU Factuality: It is preferable that the barbed wires slant outwards at a 70 degrees angle.,"(slant, true); (is, true)"
154,CMU/AFGP-2002-600002-Trans.xml,LU Factuality: The thickness of the fence should be 60 cm and the distance between it and the building should be 2 meters.,"(should, true); (should, true); (be, unknown); (be, unknown)"
155,CMU/AFGP-2002-600002-Trans.xml,LU Factuality: Secret gates should be built 50 meters apart to be used for emergency only.,"(used, true); (should, true); (built, unknown)"
156,CMU/AFGP-2002-600002-Trans.xml,"LU Factuality: However, they should not be identifiable from the outside part of the fence.","(should, true); (be, unknown)"
157,CMU/AFGP-2002-600002-Trans.xml,LU Factuality: It is preferable that any location has only 2 emergency gates and far away from one another.,"(has, true); (is, true)"
158,CMU/AFGP-2002-600002-Trans.xml,LU Factuality: No other outside gates should be erected.,"(should, true); (erected, unknown)"
159,CMU/AFGP-2002-600002-Trans.xml,"LU Factuality: If it is necessary to have an outside entrance for the control tower, then access to the location should not be constructed.","(should, true); (have, true); (access, true); (constructed, unknown); (is, false)"
160,CMU/AFGP-2002-600002-Trans.xml,"LU Factuality: If the location is in a highly dangerous zone, then two parallel fences should be built to be 3 meters apart.","(be, true); (should, true); (built, unknown); (is, false)"
161,CMU/AFGP-2002-600002-Trans.xml,LU Factuality: The space between the two fences could be mined in order to prevent infiltration.,"(could, true); (mined, unknown); (prevent, unknown)"
162,CMU/AFGP-2002-600002-Trans.xml,LU Factuality: It is preferable the fence be square or rectangular in shape.,"(is, true); (be, true)"
163,CMU/AFGP-2002-600002-Trans.xml,LU Factuality: A circular shaped fence is harder to protect because of hidden angles.,"(is, true); (protect, true)"
164,CMU/AFGP-2002-600002-Trans.xml,LU Factuality: Parking areas are of importance because most sabotage operations are done with cars.,"(done, true); (are, true); (operations, true)"
165,CMU/AFGP-2002-600002-Trans.xml,"LU Factuality: Therefore, it is important to adopt following:","(adopt, true); (is, true)"
166,CMU/AFGP-2002-600002-Trans.xml,LU Factuality: The parking lot should be 50 meters away from the fence.,"(should, true); (be, unknown)"
167,CMU/AFGP-2002-600002-Trans.xml,"LU Factuality: If the nature of the terrain does not allow it, then it should be on the other side of the road.","(should, true); (be, unknown); (allow, false)"
168,CMU/AFGP-2002-600002-Trans.xml,"LU Factuality: Under no circumstance a car, even that which belongs to the location should be permitted to park next to the fence.","(belongs, true); (should, true); (circumstance, true); (park, true); (permitted, unknown)"
169,CMU/AFGP-2002-600002-Trans.xml,LU Factuality: Assign a parking spot for visitors which would not make them feel insulted.,"(would, true); (insulted, true); (Assign, true); (make, unknown)"
170,CMU/AFGP-2002-600002-Trans.xml,LU Factuality: Usually such parking spots are on the side of the lot.,"(are, true)"
171,CMU/AFGP-2002-600002-Trans.xml,LU Factuality: Inside parking lot should be strictly designated to the location's cars in order to protect them from sabotage.,"(sabotage, true); (should, true); (protect, unknown); (designated, unknown)"
172,CMU/AFGP-2002-600002-Trans.xml,"LU Factuality: Also, the visitors with high security clearance should be designated parking spots inside the location.","(clearance, true); (should, true); (designated, unknown)"
173,CMU/AFGP-2002-600002-Trans.xml,LU Factuality: Cars parked inside the location should have their front facing the fence so they could be used quickly in case of emergency.,"(could, true); (should, true); (facing, true); (parked, true); (used, unknown); (have, unknown)"
174,CMU/AFGP-2002-600002-Trans.xml,LU Factuality: All parking regulations of the location should be followed strictly followed.,"(should, true); (followed, unknown)"
175,CMU/AFGP-2002-600002-Trans.xml,LU Factuality: Some buses should be exposed and others should be camouflaged.,"(should, true); (should, true); (camouflaged, unknown); (exposed, unknown)"
176,CMU/AFGP-2002-600002-Trans.xml,LU Factuality: The buses should have the following:,"(should, true); (have, unknown)"
177,CMU/AFGP-2002-600002-Trans.xml,LU Factuality: Wireless equipment to report dangerous activities,"(activities, true); (report, unknown)"
178,CMU/AFGP-2002-600002-Trans.xml,LU Factuality: Writing materials to jot down suspicious activities or license plate numbers.,"(activities, true); (jot, unknown)"
179,CMU/AFGP-2002-600002-Trans.xml,LU Factuality: Sand bags arounf the busses to protect them from gun fire.,"(fire, true); (protect, unknown)"
180,CMU/AFGP-2002-600002-Trans.xml,LU Factuality: These are camouflaged to look like commercial companies' vehicles or traveling salesmen's vehicles.,"(camouflaged, true); (look, unknown)"
181,CMU/AFGP-2002-600002-Trans.xml,LU Factuality: They are entrusted with the task of tracking down the movement of strangers who are approaching the location.,"(task, true); (entrusted, true); (approaching, true); (movement, true); (tracking, true)"
182,CMU/AFGP-2002-600002-Trans.xml,LU Factuality: The objective of having kiosks is they serve as communication points between the guards and the visitors or those who are approaching the building and deal with them according to their requirements.,"(objective, true); (having, true); (is, true); (serve, true); (points, true); (approaching, true); (deal, true); (according, true); (requirements, true)"
183,CMU/AFGP-2002-600002-Trans.xml,LU Factuality: Kiosks should be placed at entrance gates to check visitors when approaching the building.,"(should, true); (approaching, true); (placed, unknown)"
184,CMU/AFGP-2002-600002-Trans.xml,LU Factuality: Kiosks should be placed at key important locations where24 hour security watch is required.,"(should, true); (required, true); (placed, unknown)"
185,CMU/AFGP-2002-600002-Trans.xml,"LU Factuality: The Kiosk should be designed to stand all weather conditions, and provide a full coverage of the area it is placed at.","(placed, true); (should, true); (coverage, true); (stand, unknown); (provide, unknown); (designed, unknown)"
186,CMU/AFGP-2002-600002-Trans.xml,"LU Factuality: The Kiosk should be equipped with wireless communication equipment, and a mechanist to open and close the gate automatically.","(should, true); (equipped, unknown); (open, unknown)"
187,CMU/AFGP-2002-600002-Trans.xml,"LU Factuality: Direct the visitors' cars to special parking spots, away from the fence and the control tower.","(Direct, true)"
188,CMU/AFGP-2002-600002-Trans.xml,LU Factuality: The following should be observed:,"(should, true); (should, true); (observed, unknown); (observed, unknown)"
189,CMU/AFGP-2002-600002-Trans.xml,"LU Factuality: The lower part of the tower should serve as a shelter for the guards, when needed.","(should, true); (serve, unknown); (needed, false)"
190,CMU/AFGP-2002-600002-Trans.xml,LU Factuality: Going up the tower should be from inside.,"(Going, true); (should, true)"
191,CMU/AFGP-2002-600002-Trans.xml,"LU Factuality: The towers should be located in a manner where they can easily communicate with one another, and totally cover the area they are guarding.","(should, true); (cover, true); (communicate, true); (guarding, true); (located, unknown)"
192,CMU/AFGP-2002-600002-Trans.xml,LU Factuality: They should have telescopes in order to constantly control the areas around them.,"(should, true); (control, unknown); (have, unknown)"
193,CMU/AFGP-2002-600002-Trans.xml,LU Factuality: Entrances to the towers should be totally camouflaged.,"(should, true); (be, unknown)"
194,CMU/AFGP-2002-600002-Trans.xml,LU Factuality: They should have a protruding area to better control their surroundings.,"(should, true); (have, unknown); (control, unknown)"
195,CMU/AFGP-2002-600002-Trans.xml,LU Factuality: Outside Patrols,"(Patrols, true)"
196,CMU/AFGP-2002-600002-Trans.xml,LU Factuality: The locality cannot be fully protected without having patrols roaming on the outside area of the fence.,"(protected, true); (having, true); (roaming, true)"
197,CMU/AFGP-2002-600002-Trans.xml,"LU Factuality: The above mentioned protection procedures are only for observation purposes, while patrols check the fences, the barriers, and the towers, and submit periodic reports on their findings.","(reports, true); (findings, true); (check, true); (submit, true); (procedures, true); (are, true)"
198,CMU/AFGP-2002-600002-Trans.xml,LU Factuality: It also checks on guard posts.,"(checks, true)"
199,CMU/AFGP-2002-600002-Trans.xml,LU Factuality: They also engage with persons approaching the locality and support the guards in their duties.,"(duties, true); (approaching, true); (support, true); (engage, true)"
200,CMU/AFGP-2002-600002-Trans.xml,LU Factuality: They also provide extra fire power in when guards or other patrols are engaged in a gun battle.,"(power, true); (provide, true); (engaged, false); (battle, false)"
201,CMU/AFGP-2002-600002-Trans.xml,LU Factuality: These patrols are formed as follows:,"(formed, true)"
202,CMU/AFGP-2002-600002-Trans.xml,LU Factuality: Single patrols which consist of two people checking the outside area of the location.,"(checking, true); (consist, true); (patrols, true)"
203,CMU/AFGP-2002-600002-Trans.xml,"LU Factuality: Common patrols which consist of one man and a dog, also checking the outside area of the location.","(checking, true); (consist, true); (patrols, true)"
204,CMU/AFGP-2002-600002-Trans.xml,"LU Factuality: These patrols tour the area during specific times such as, dinner, dawn, dusk, and midnight.","(tour, true)"
205,CMU/AFGP-2002-600002-Trans.xml,"LU Factuality: The patrol should be armed with light weapon such as Kalashnikovs and RPGs, and cover the area on foot.","(should, true); (cover, true); (armed, unknown)"
206,CMU/AFGP-2002-600002-Trans.xml,LU Factuality: Area Patrols,"(Patrols, true)"
207,CMU/AFGP-2002-600002-Trans.xml,LU Factuality: These patrols comb the greater area surrounding the location periodically; anywhere between 3 and four times a week The patrol should be lead by a security officer in order to take immediate actions if the need arises.,"(should, true); (comb, true); (lead, unknown); (arises, false); (take, unknown)"
208,CMU/AFGP-2002-600002-Trans.xml,"LU Factuality: Also, the duty of area patrols is to discover new paths and shelters in the area in order to hide fighters after a Jihad operation against the enemy.","(operation, true); (is, true); (duty, true); (hide, unknown)"
209,CMU/AFGP-2002-600002-Trans.xml,LU Factuality: The area patrol is different from the single patrol in that:,"(is, true)"
210,CMU/AFGP-2002-600002-Trans.xml,LU Factuality: It has a vehicle equipped with a machine gun.,"(has, true); (equipped, true)"
211,CMU/AFGP-2002-600002-Trans.xml,"LU Factuality: It can use horses to canvass the area, but the patrol should be formed of 2 or 3 people at least.","(use, true); (should, true); (formed, unknown); (canvass, unknown)"
212,CMU/AFGP-2002-600002-Trans.xml,LU Factuality: Internal Protection,"(Protection, true)"
213,CMU/AFGP-2002-600002-Trans.xml,LU Factuality: This kind of protection should be done without drawing attention so that people inside the location would feel at ease.,"(protection, true); (should, true); (drawing, true); (would, true); (feel, unknown); (done, unknown)"
214,CMU/AFGP-2002-600002-Trans.xml,LU Factuality: The location should have a fence with towers that is equipped with visual and aural equipment.,"(should, true); (equipped, true); (have, unknown)"
215,CMU/AFGP-2002-600002-Trans.xml,LU Factuality: First: Guarding,"(Guarding, true)"
216,CMU/AFGP-2002-600002-Trans.xml,LU Factuality: Second: Regulations for Visitors and their Belongings,"(Regulations, true)"
217,CMU/AFGP-2002-600002-Trans.xml,LU Factuality: A strict control system should cover the above items.,"(should, true); (cover, unknown)"
218,CMU/AFGP-2002-600002-Trans.xml,LU Factuality: Third: Defense Plan ­ Firefighting,"(Plan, true)"
219,CMU/AFGP-2002-600002-Trans.xml,LU Factuality: A 70 meters long hose of one inch thickness should be placed next to each faucet.,"(should, true); (placed, unknown)"
220,CMU/AFGP-2002-600002-Trans.xml,LU Factuality: Abu Khalil...Rida...Sa`d are responsible for the first faucet.  ,"(are, true)"
221,CMU/AFGP-2002-600002-Trans.xml,LU Factuality: Khaled...Abdul Muhaymen... al-Aswani are responsible for the second faucet.,"(are, true)"
222,CMU/AFGP-2002-600002-Trans.xml,LU Factuality: The other residents are responsible for the guests' quarters.,"(are, true)"
223,CMU/AFGP-2002-600002-Trans.xml,LU Factuality: Next to each faucet place 6 pails of sand for emergency use.,"(place, true)"
224,CMU/AFGP-2002-600002-Trans.xml,LU Factuality: A special water tank to be erected on top of Sheikh Said's kiosk.,"(erected, true)"
225,CMU/AFGP-2002-600002-Trans.xml,"LU Factuality: Place 3 fire extinguishers: one in the infirmary, one in the school and one in the guest house.","(Place, true)"
226,CMU/AFGP-2002-600002-Trans.xml,"LU Factuality: In case of fire, all people are evacuated to safe places.","(evacuated, true)"
227,CMU/AFGP-2002-600002-Trans.xml,LU Factuality: Separate furniture from the rest of the house if possible so the fire will not spread.,"(Separate, true); (spread, true)"
228,CMU/AFGP-2002-600002-Trans.xml,LU Factuality: Train women on the use of lanterns and candles.,"(use, true); (Train, true)"
229,CMU/AFGP-2002-600002-Trans.xml,LU Factuality: Matches and kerosene should be stored away from children.,"(should, true); (stored, unknown)"
230,CMU/AFGP-2002-600002-Trans.xml,"LU Factuality: Women should be told that the best way to put our a fire is to cut off the oxygen supply to the flames, and therefore they should use wet blanket over the flames.","(is, true); (put, true); (should, true); (should, true); (use, unknown); (told, unknown)"
231,CMU/AFGP-2002-600002-Trans.xml,"LU Factuality: In the absence of men at home, women and children should vacate the house as quickly as possible.","(should, true); (vacate, unknown)"
232,CMU/AFGP-2002-600002-Trans.xml,LU Factuality: Administration Staff Responsibilities:,"(Responsibilities, true)"
233,CMU/AFGP-2002-600002-Trans.xml,LU Factuality: Buy equipment and machinery soonest.,"(Buy, true)"
234,CMU/AFGP-2002-600002-Trans.xml,LU Factuality: Install the yanks and the faucets.,"(Install, true)"
235,CMU/AFGP-2002-600002-Trans.xml,LU Factuality: Firefighters Responsibilities:,"(Responsibilities, true)"
236,CMU/AFGP-2002-600002-Trans.xml,LU Factuality: Firefighting training,"(training, true)"
237,CMU/AFGP-2002-600002-Trans.xml,LU Factuality: Evacuation training.,"(training, true)"
238,CMU/AFGP-2002-600002-Trans.xml,LU Factuality: Supervise the fire equipment in order to ensure:,"(Supervise, true); (ensure, unknown)"
239,CMU/AFGP-2002-600002-Trans.xml,LU Factuality: It remains in place,"(remains, true)"
240,CMU/AFGP-2002-600002-Trans.xml,LU Factuality: Does not get damaged,"(damaged, true)"
241,CMU/AFGP-2002-600002-Trans.xml,LU Factuality: Run some tests to identify the negatives:,"(tests, true); (Run, true); (identify, unknown)"
242,CMU/AFGP-2002-600002-Trans.xml,LU Factuality: The security team should:,"(should, true)"
243,CMU/AFGP-2002-600002-Trans.xml,"LU Factuality: Publish a periodic bulletin and distribute to all residents, advising them how to safely store gaz and logs.","(store, true); (advising, true); (bulletin, true); (distribute, true); (Publish, unknown)"
244,CMU/AFGP-2002-600002-Trans.xml,LU Factuality: Keep the firefighters alert at all times.,"(alert, true); (Keep, unknown)"
245,CMU/AFGP-2002-600002-Trans.xml,LU Factuality: Report any thing that might be a fire hazard.,"(hazard, true); (Report, unknown)"
246,CMU/AFGP-2002-600002-Trans.xml,LU Factuality: Warn against the safety of children's toys.,"(safety, true); (Warn, unknown)"
247,CMU/AFGP-2002-600002-Trans.xml,LU Factuality: Urge everyone to take precautions and guard their homes tightly.,"(take, true); (guard, true); (Urge, unknown)"
248,CMU/AFGP-2002-600002-Trans.xml,LU Factuality: Defending the Location Plan,"(Plan, true); (Defending, true)"
249,CMU/AFGP-2002-600002-Trans.xml,LU Factuality: Securing supply of food and water.,"(Securing, true)"
250,CMU/AFGP-2002-600002-Trans.xml,LU Factuality: Supply mechanical and electronic equipment.,"(Supply, true)"
251,CMU/AFGP-2002-600002-Trans.xml,LU Factuality: Provide labor force.,"(Provide, true)"
252,CMU/AFGP-2002-600002-Trans.xml,LU Factuality: Provide security to top dignitaries.,"(Provide, true); (security, true)"
253,CMU/AFGP-2002-600002-Trans.xml,LU Factuality: Control pests.,"(Control, true)"
254,CMU/AFGP-2002-600002-Trans.xml,LU Factuality: Spying:,"(Spying, true)"
255,CMU/AFGP-2002-600002-Trans.xml,LU Factuality: Placing Spies,"(Placing, true)"
349,CMU/AFGP-2002-600175-Trans.xml,"LU Factuality: In the name of Allah, the Most Benevolent, ever Merciful","(Merciful, unknown)"
350,CMU/AFGP-2002-600175-Trans.xml,"LU Factuality: Praise Allah, and prayer and peace upon the Messenger sent by Allah","(sent, true); (Praise, unknown); (upon, unknown)"
351,CMU/AFGP-2002-600175-Trans.xml,LU Factuality: Take refuge in Allah from the accursed Satan,"(Take, true)"
352,CMU/AFGP-2002-600175-Trans.xml,"LU Factuality: ""So, fight them till all opposition ends, and obedience is wholly Allah's"".","(obedience, false); (is, false); (fight, false); (ends, false); (opposition, false)"
353,CMU/AFGP-2002-600175-Trans.xml,"LU Factuality: ""If they break their pledge after giving their word and revile your faith, fight these specimens of faithlessness, for surely their oaths have no sanctity: they may happily desist.""","(faithlessness, false); (oaths, false); (have, false); (may, false); (desist, unknown); (break, false); (pledge, false); (giving, false); (revile, false); (fight, false); (faith, false)"
354,CMU/AFGP-2002-600175-Trans.xml,"LU Factuality: ""Fight them so that Allah may punish them at your hands, and put them to shame, and help you against them, and heal the woundsi of the hearts of the believers, And remove the anger from their breasts; for Allah turns to whosoever desires . Allah is all- knowing and all - wise.""","(Fight, false); (may, false); (put, false); (punish, unknown); (is, false); (desires, false); (turns, false); (anger, false); (remove, false); (wounds, false); (heal, false); (help, false); (to, false)"
355,CMU/AFGP-2002-600175-Trans.xml,"LU Factuality: ""What has happened to you, O believers, that when you are asked to set out in the cause of Allah your feet begin to drag ? ","(drag, false); (begin, false); (cause, false); (set, false); (asked, false); (happened, unknown)"
356,CMU/AFGP-2002-600175-Trans.xml,LU Factuality: Do you find the life of the world so pleasing that you forget the life to come ? ,"(come, unknown); (forget, unknown); (pleasing, unknown); (find, unknown)"
357,CMU/AFGP-2002-600175-Trans.xml,"LU Factuality: Yet the profit of the life of this world is but meager as compared to the life to come.  "" ","(is, false); (compared, false)"
358,CMU/AFGP-2002-600175-Trans.xml,"LU Factuality: An Islamic Group, its only mission is Jihad, because Jihad is one of the basic purposes for which Al Qaeda personnel come together.","(is, true); (mission, true); (come, true); (is, true); (Jihad, true)"
359,CMU/AFGP-2002-600175-Trans.xml,"LU Factuality: In addition, they perform other Islamic duties if possible.","(duties, true); (perform, true)"
360,CMU/AFGP-2002-600175-Trans.xml,LU Factuality: Jihad will take precedence over other duties in case of interference.,"(duties, true); (Jihad, true); (take, true); (interference, false)"
361,CMU/AFGP-2002-600175-Trans.xml,LU Factuality: Its belief:,"(belief, true)"
362,CMU/AFGP-2002-600175-Trans.xml,"LU Factuality: The belief of the Sunnite and the assembled people in general and in detail, and following the traditions of the noble ancestors.","(belief, true); (traditions, true); (following, true)"
363,CMU/AFGP-2002-600175-Trans.xml,LU Factuality: Goals of Al Qaeda:,"(Goals, true)"
364,CMU/AFGP-2002-600175-Trans.xml,"LU Factuality: The victory of the mighty religion of Allah, the establishment of an Islamic Regime and the restoration of the Islamic Caliphate, God willing.","(Caliphate, true); (willing, unknown); (restoration, true); (establishment, true); (Regime, true); (victory, true)"
365,CMU/AFGP-2002-600175-Trans.xml,LU Factuality: Al Qaeda work parameters:,"(parameters, true)"
366,CMU/AFGP-2002-600175-Trans.xml,"LU Factuality: International and in gradual stages, depending on Al Qaeda policies.","(depending, true)"
367,CMU/AFGP-2002-600175-Trans.xml,LU Factuality: Conditions for admission into Al Qaeda:,"(admission, true)"
368,CMU/AFGP-2002-600175-Trans.xml,"LU Factuality: The compliance with Al Qaeda beliefs and goals, as have been explained previously.","(goals, true); (beliefs, true); (explained, true); (compliance, true)"
369,CMU/AFGP-2002-600175-Trans.xml,LU Factuality: Subordination and obedience to the higher command without rebellion against God's way.,"(Subordination, true); (rebellion, true); (obedience, true)"
370,CMU/AFGP-2002-600175-Trans.xml,LU Factuality: It is forbidden to have membership with another Islamic Group beside Al Qaeda membership.,"(have, true); (forbidden, true); (membership, true)"
371,CMU/AFGP-2002-600175-Trans.xml,LU Factuality: Operation Security.,"(Security, true)"
372,CMU/AFGP-2002-600175-Trans.xml,LU Factuality: Good physical fitness (except in administration ( [sic],"(fitness, true)"
373,CMU/AFGP-2002-600175-Trans.xml,"LU Factuality: The candidate must not be suspected of lacking religion, fairness and morality.","(must, true); (lacking, true); (fairness, true); (morality, true); (suspected, unknown)"
374,CMU/AFGP-2002-600175-Trans.xml,LU Factuality: Taking the pledge of allegiance.,"(pledge, true); (Taking, true)"
375,CMU/AFGP-2002-600175-Trans.xml,LU Factuality: Articles and Instructions of Al Qaeda,"(Instructions, true); (Articles, true)"
376,CMU/AFGP-2002-600175-Trans.xml,LU Factuality: It is important and religiously rightful to keep Al Qaeda united.,"(is, true); (keep, true)"
377,CMU/AFGP-2002-600175-Trans.xml,LU Factuality: That will come by fearing God in private and in public.,"(fearing, true); (come, true)"
378,CMU/AFGP-2002-600175-Trans.xml,"LU Factuality: The mighty Allah said, ""Who fears Allah, Allah will remove his bad deeds and reward him with good deeds.  "" ","(said, true); (reward, false); (deeds, false); (deeds, false); (remove, false); (fears, false)"
379,CMU/AFGP-2002-600175-Trans.xml,"LU Factuality: And it will come by being friendly with Al Qaeda brothers and all Muslims, by best behavior, avoiding differences, cooperation and working for the good of the group.","(cooperation, true); (avoiding, true); (behavior, true); (being, true); (working, true); (come, true)"
380,CMU/AFGP-2002-600175-Trans.xml,"LU Factuality: [Prophet Mohammd] said, peace upon him, ""Love and compassion and sympathy between believers is like the human body: if one part of the body is sick, all the other parts of the body will come to its aid.  "" mutafaq aley / agreed upon.","(said, true); (peace, unknown); (between, false); (compassion, false); (Love, false); (come, false); (is, false); (is, false); (believers, false); (agreed, true); (aid, false)"
381,CMU/AFGP-2002-600175-Trans.xml,"LU Factuality: Maintaining good Islamic behavior, avoiding all forms of belligerent play, avoiding bad company and confirming any news to the smallest detail.","(confirming, true); (avoiding, true); (play, true); (avoiding, true); (behavior, true); (Maintaining, true)"
382,CMU/AFGP-2002-600175-Trans.xml,"LU Factuality: Mighty Allah said, ""O believers, if a sinner comes to you with news, verify it first, lest you attack someone ignorantly and later regret it.  "" ","(said, true); (attack, false); (verify, false); (comes, false); (believers, false); (regret, false)"
383,CMU/AFGP-2002-600175-Trans.xml,LU Factuality: Maintaining good moral characteristics and obedience to the parents even if they are infidels.,"(are, true); (to, true); (Maintaining, true)"
384,CMU/AFGP-2002-600175-Trans.xml,LU Factuality: Eating kosher food.,"(Eating, true)"
385,CMU/AFGP-2002-600175-Trans.xml,"LU Factuality: Prophet Mohammad said, ""Allah is good, and He only accepts the good.""","(said, true); (accepts, false); (is, false)"
386,CMU/AFGP-2002-600175-Trans.xml,LU Factuality: Maintaining as good physical fitness and military training as possible.,"(Maintaining, true); (fitness, true); (training, true)"
387,CMU/AFGP-2002-600175-Trans.xml,"LU Factuality: Do not talk about work which is delegated to you to anybody, even with Al Qaeda members.","(work, true); (delegated, true); (talk, true)"
388,CMU/AFGP-2002-600175-Trans.xml,LU Factuality: The only person you are authorized to talk to is your direct superior.,"(is, true); (authorized, true); (talk, true)"
389,CMU/AFGP-2002-600175-Trans.xml,"LU Factuality: If you have been delegated to a mission with other people, talking among the group must be supervised by the command.","(delegated, true); (must, true); (mission, true); (talking, true)"
390,CMU/AFGP-2002-600175-Trans.xml,"LU Factuality: Maintaining strong hold on your Islamic faith in general and the call for Al Jihad ideology in particular, starting with your relatives and friends.","(Maintaining, true); (ideology, true); (faith, true); (hold, true); (starting, true); (call, true)"
391,CMU/AFGP-2002-600175-Trans.xml,"LU Factuality: Mighty Allah said, ""Warn your close relatives.  "" ","(said, true); (Warn, false)"
392,CMU/AFGP-2002-600175-Trans.xml,LU Factuality: Sometimes you will be prevented from spreading these ideologies because your work requires too much secrecy.,"(requires, true); (work, true); (ideologies, true); (spreading, true); (prevented, true)"
393,CMU/AFGP-2002-600175-Trans.xml,LU Factuality: Guard the public money belonging to Al Qaeda.,"(belonging, true); (Guard, true)"
394,CMU/AFGP-2002-600175-Trans.xml,"LU Factuality: The Messenger of Allah said, peace upon him, ""The people who waste Allah's money, their reward will be the fire on Judgment Day.  "" ","(said, true); (peace, unknown); (reward, false); (Day, false); (waste, false); (be, false)"
395,CMU/AFGP-2002-600175-Trans.xml,"LU Factuality: Give good advice to your superiors and Al Qaeda brothers, and don't deceive them.","(Give, true); (deceive, true); (advice, true)"
396,CMU/AFGP-2002-600175-Trans.xml,LU Factuality: Take refuge in Allah from the accursed Satan.,"(refuge, true); (refuge, true)"
397,CMU/AFGP-2002-600175-Trans.xml,"LU Factuality: ""They alone are true believers who believe in Allah and his Messenger, and when they are with him on a matter of common concern, do not depart without obtaining his leave.  "" ","(believe, false); (are, false); (are, false); (depart, false); (obtaining, false); (matter, false); (concern, false); (leave, false)"
